X_id,Project.ID,Addresses,Anchor.Address,Status,Ward,Affordable.Homes.Approved..2020...Present.,Total.ARH.Approved..2017...Present.,Rent.Controlled.Market.Units.Approved,RGI.Homes.Approved,geometry
179,ARH0187,6 Dawes Road,6 Dawes Rd,Under Review,19,6,6,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.29877738, 43.68711716]]}"
180,ARH0188,6 Shipman Street,6 Shipman St,Under Review,4,2,2,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.475807, 43.666913]]}"
181,ARH0189,6020 Bathurst Street,6020 Bathurst St,Under Review,6,10,10,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.44737422, 43.78708751]]}"
182,ARH0190,6040 Bathurst Street,6040 Bathurst St,Under Review,6,10,10,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.44765194, 43.78904449]]}"
183,ARH0191,62 Orchard Park Drive,62 Orchard Park Dr,Pre-Planning,25,47,47,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.17960779, 43.77419123]]}"
184,ARH0192,"620 Martingrove Road and 7, 21 Richgrove",620 Martin Grove Rd,Under Construction,1,0,100,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.56514659, 43.67515317]]}"
185,ARH0193,625 Church Street,625 Church St,Under Review,11,15,15,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.38235004, 43.66989506]]}"
186,ARH0194,630 Spadina Avenue,630 Spadina Avenue ,Pre-Planning,11,47,47,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.402491, 43.662618]]}"
187,ARH0196,640 Lansdowne Avenue,640 Lansdowne Ave,Under Review,9,0,65,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.44449043, 43.66131313]]}"
188,ARH0197,65 Dundas St E - phase 1 ,65 Dundas St E,Under Construction,13,92,92,NA,92,"{'type': 'MultiPoint', 'coordinates': [[-79.37845424, 43.65601111]]}"
189,ARH0198,65 Dundas St E - phase 2,65 Dundas St E,Under Construction,13,188,188,NA,188,"{'type': 'MultiPoint', 'coordinates': [[-79.37845424, 43.65601111]]}"
190,ARH0200,65 to 99 Silver Springs Blvd,65 Silver Springs Blvd,Under Review,22,9,9,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.30423789, 43.80132103]]}"
191,ARH0201,685 Queen Street East,685 Queen St E,Under Construction,14,0,32,NA,0,"{'type': 'MultiPoint', 'coordinates': [[-79.35055444, 43.65856047]]}"
192,ARH0203,7 Vanauley Street,7 Vanauley St,Under Review,10,31,31,NA,31,"{'type': 'MultiPoint', 'coordinates': [[-79.39830825, 43.64882517]]}"
193,ARH0204,705 Warden Avenue,705 Warden Ave,Under Review,20,250,250,350,25,"{'type': 'MultiPoint', 'coordinates': [[-79.28062463, 43.71343298]]}"
